idNum,attendance,mathScore,readScore,ethnicity,classRank
1,90.90,1.9,1.8,L,0
2,93.80,2.4,2.0,L,0
3,95.50,2.1,1.7,A,0
4,82.00,2.3,1.4,L,0
5,34.00,2.6,1.5,B,0
6,94.40,2.3,2.1,L,0
7,93.80,3.1,3.4,L,0
8,98.30,2.9,4.0,A,0
9,97.80,4.3,4.0,A,0
10,98.30,4.0,4.2,A,0
11,98.90,3.8,4.4,L,0
12,96.60,3.0,3.2,B,0
13,93.80,3.1,1.9,L,0
14,91.80,0.0,3.1,NA,0
15,89.90,1.8,2.1,A,0
16,95.50,1.9,3.4,L,0
17,81.00,0.0,0.0,U,0
18,94.90,2.5,0.0,W,0
19,96.60,2.3,1.9,L,0
20,95.50,4.0,3.4,L,0
21,96.60,4.0,0.0,L,0
22,97.80,3.3,0.0,L,0
23,97.80,2.6,2.1,L,0
24,98.30,2.6,0.0,A,0
25,95.50,2.0,2.1,L,0
26,97.80,2.8,0.0,A,0
27,96.60,3.6,3.5,L,0
28,92.10,2.3,2.0,A,0
29,100.00,2.2,3.1,L,0
30,95.40,3.4,0.0,W,0
31,97.80,2.7,3.6,W,0
32,99.40,3.1,3.5,L,0
33,98.30,2.5,1.8,W,0
34,97.20,4.0,4.1,W,0
35,92.70,3.0,2.4,L,0
36,95.50,2.8,3.4,L,0
37,99.40,3.4,3.0,L,0
38,82.00,0.0,0.0,L,0
39,93.30,3.0,2.4,L,0
40,96.60,2.0,1.8,L,0
41,62.40,3.3,1.6,L,0
42,98.30,3.1,0.0,A,0
43,93.30,3.4,3.8,A,0
44,90.40,2.4,1.7,L,0
45,84.00,2.3,2.9,L,0
46,93.80,4.0,2.3,A,0
47,95.50,1.9,1.8,L,0
48,97.20,4.0,4.0,A,0
49,82.00,2.4,3.3,A,0
50,97.20,3.8,2.9,W,0
51,98.90,4.3,4.1,L,0
52,87.00,0.0,0.0,A,0
53,97.70,2.8,0.0,W,0
54,99.40,2.2,3.0,L,0
55,88.80,2.7,1.9,L,0
56,98.30,4.1,4.1,A,0
57,96.60,1.9,2.6,A,0
58,100.00,2.3,1.8,L,0
59,98.30,4.0,3.0,L,0
60,68.50,3.1,1.9,L,0
61,100.00,3.8,2.6,B,0
62,92.10,2.4,2.3,L,0
63,94.00,2.8,2.5,L,0
64,96.60,2.9,3.3,W,0
65,82.00,3.6,0.0,L,0
66,97.20,3.6,2.5,L,0
67,82.00,2.3,1.7,L,0
68,92.00,0.0,0.0,A,0
69,97.20,4.0,4.3,A,0
70,100.00,3.8,3.3,A,0
71,74.20,2.3,0.0,L,0
72,96.10,2.0,1.8,L,0
73,100.00,2.1,1.8,L,0
74,94.90,3.8,2.6,A,0
75,84.80,2.0,2.0,A,0
76,97.80,2.8,2.5,B,0
77,93.80,0.0,0.0,L,0
78,78.10,4.0,2.7,W,0
79,97.80,2.6,2.0,L,0
80,94.90,2.2,2.0,L,0
81,92.00,0.0,0.0,U,0
82,100.00,2.2,2.4,B,0
83,97.80,4.0,4.1,L,0
84,98.30,4.0,0.0,A,0
85,94.90,3.3,2.6,A,0
86,96.10,4.0,4.1,A,0
87,93.30,3.3,3.3,A,0
88,96.10,4.3,0.0,W,0
89,100.00,2.4,3.5,L,0
90,100.00,3.0,3.8,A,0
91,96.10,1.8,2.8,L,0
92,97.20,3.3,1.9,L,0
93,96.10,2.3,2.1,L,0
94,73.00,3.4,2.6,L,0
95,97.80,4.0,3.6,L,0
96,82.60,3.8,0.0,L,0
97,97.00,0.0,0.0,A,0
98,77.00,0.0,0.0,L,0
99,96.60,3.3,3.7,L,0
100,98.90,3.4,2.0,L,0
101,96.60,4.0,4.0,L,0
102,94.90,2.0,2.3,B,0
103,95.00,0.0,0.0,A,0
104,98.90,3.0,2.4,L,0
105,72.00,0.0,0.0,L,0
106,96.00,2.0,0.0,W,0
107,96.50,0.0,0.0,A,0
108,99.10,0.0,0.0,A,0
109,99.00,0.0,0.0,L,0
110,90.00,0.0,0.0,L,0
111,100.00,0.0,0.0,A,0
112,96.00,0.0,0.0,L,0
113,97.40,0.0,0.0,L,0
114,99.00,0.0,0.0,L,0
115,99.00,0.0,0.0,L,0
116,87.80,0.0,0.0,L,0
117,100.00,0.0,0.0,L,0
118,94.80,0.0,0.0,L,0
119,99.10,0.0,0.0,L,0
120,99.10,0.0,0.0,A,0
121,88.00,0.0,0.0,B,0
122,100.00,0.0,0.0,L,0
123,99.10,0.0,0.0,L,0
124,100.00,0.0,0.0,W,0
125,99.10,0.0,0.0,W,0
126,82.60,0.0,0.0,B,0
127,98.30,0.0,0.0,A,0
128,87.00,0.0,0.0,A,0
129,97.40,0.0,0.0,L,0
130,85.00,0.0,0.0,L,0
131,96.50,0.0,0.0,L,0
132,99.10,0.0,0.0,L,0
133,97.00,0.0,0.0,L,0
134,98.30,0.0,0.0,A,0
135,88.70,0.0,0.0,L,0
136,93.90,0.0,0.0,L,0
137,87.00,0.0,0.0,B,0
138,93.00,0.0,0.0,U,0
139,91.30,0.0,0.0,L,0
140,95.70,0.0,0.0,W,0
141,99.10,0.0,0.0,L,0
142,97.40,0.0,0.0,L,0
143,96.50,0.0,0.0,L,0
144,98.30,0.0,0.0,L,0
145,92.00,0.0,0.0,L,0
146,98.30,0.0,0.0,L,0
147,90.40,0.0,0.0,L,0
148,100.00,0.0,0.0,A,0
149,100.00,0.0,0.0,L,0
150,97.40,0.0,0.0,L,0
151,99.10,0.0,0.0,L,0
152,100.00,0.0,0.0,A,0
153,97.40,0.0,0.0,W,0
154,98.30,0.0,0.0,A,0
155,99.10,0.0,0.0,A,0
156,98.30,0.0,0.0,L,0
157,100.00,0.0,0.0,A,0
158,98.30,0.0,0.0,A,0
159,91.00,0.0,0.0,U,0
160,100.00,0.0,0.0,W,0
161,85.20,0.0,0.0,L,0
162,94.80,0.0,0.0,A,0
163,75.70,0.0,0.0,L,0
164,75.00,0.0,0.0,L,0
165,99.10,0.0,0.0,L,0
166,99.10,0.0,0.0,B,0
167,95.70,0.0,0.0,L,0
168,99.10,0.0,0.0,L,0
169,97.40,0.0,0.0,L,0
170,96.50,0.0,0.0,L,0
171,87.00,0.0,0.0,W,0
172,95.70,0.0,0.0,L,0
173,98.30,0.0,0.0,L,0
174,96.50,0.0,0.0,L,0
175,86.10,0.0,0.0,L,0
176,94.00,0.0,0.0,W,0
177,86.10,0.0,0.0,L,0
178,91.30,0.0,0.0,L,0
179,97.40,0.0,0.0,W,0
180,99.10,0.0,0.0,A,0
181,99.10,0.0,0.0,L,0
182,89.00,0.0,0.0,L,0
183,99.10,0.0,0.0,L,0
184,96.50,0.0,0.0,L,0
185,98.30,0.0,0.0,L,0
186,91.30,0.0,0.0,W,0
187,84.00,0.0,0.0,U,0
188,93.90,0.0,0.0,L,0
189,100.00,0.0,0.0,L,0
190,97.40,0.0,0.0,L,0
191,98.30,0.0,0.0,L,0
192,100.00,0.0,0.0,A,0
193,94.80,0.0,0.0,L,0
194,99.10,0.0,0.0,A,0
195,100.00,0.0,0.0,L,0
196,97.40,0.0,0.0,L,0
197,98.30,0.0,0.0,L,0
198,97.40,0.0,0.0,L,0
199,99.10,0.0,0.0,L,0
200,100.00,0.0,0.0,L,0
201,99.10,0.0,0.0,L,0
202,98.30,0.0,0.0,L,0
203,99.10,0.0,0.0,L,0
204,98.00,0.0,0.0,L,0
205,77.40,0.0,0.0,B,0
206,97.40,0.0,0.0,W,0
207,89.60,0.0,0.0,L,0
208,98.30,0.0,0.0,A,0
209,92.20,0.0,0.0,L,0
210,99.10,0.0,0.0,L,0
211,100.00,0.0,0.0,L,0
212,89.60,0.0,0.0,L,0
213,95.70,0.0,0.0,W,0
214,99.10,0.0,0.0,W,0
